Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Local/benchmark_samp_2,2.0340503243204753e-3,2.0280540418484293e-3,2.0554170938960983e-3,3.129414271091904e-5,1.228125176279735e-5,6.417070662411753e-5
Local/benchmark_samp_11,7.756200575145002e-3,7.7450676731335875e-3,7.772278306557293e-3,3.766860769213751e-5,2.4743328762827814e-5,6.837250380541926e-5
Local/benchmark_samp_101,8.42694715038518e-2,8.398968622608058e-2,8.492041444847928e-2,6.274883063010033e-4,2.915707707233026e-4,1.0063810219183207e-3
Local/benchmark_samp_1001,0.31153005634329023,0.3105730531735753,0.3131144431825305,1.6759163815436929e-3,4.4779149033701937e-4,2.236832485169982e-3
Local/benchmark_samp_10001,3.634246705854366,3.6276597808118822,3.644241116687681,1.0786121942074286e-2,5.640837080136407e-4,1.3415666069888943e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Local/benchmark_samp_2,1.1548603483885324e-3,1.153534799578883e-3,1.1564330404980718e-3,5.695176562554539e-6,3.933806785747194e-6,7.957102951062138e-6
Local/benchmark_samp_11,5.075154965581528e-3,5.0709948104145875e-3,5.080424561891477e-3,1.5781125716539077e-5,1.252207246940444e-5,1.9545934587886854e-5
Remote/benchmark_samp_2,5.716670898083673,5.42194217550059,6.095665811833594,0.3792668271018616,0.1756125305345491,0.5050342987504809
Remote/benchmark_samp_11,3.0263477074593843,2.986955430666664,3.094754298002954,6.793217220934866e-2,2.215146624808484e-3,8.875741981626872e-2
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Local/benchmark_samp_2,8.26353204363996e-4,8.255949095408865e-4,8.283461986834688e-4,3.6495294267682675e-6,1.6539598024014193e-6,7.020882262353557e-6
Local/benchmark_samp_11,4.6061611141081605e-3,4.570472324662142e-3,4.704289576940072e-3,1.7597410107616073e-4,2.7137515310757682e-5,3.5555989373966027e-4
Local/benchmark_samp_101,5.435435165547532e-2,5.417600347306013e-2,5.455278826610218e-2,3.3941842787457233e-4,2.3213772684444383e-4,4.928927720462046e-4
Local/benchmark_samp_1001,0.4108460368533997,0.40917016687672003,0.4132998189124919,2.3212900031126327e-3,2.447086117536288e-4,2.9557377705759155e-3
Local/benchmark_samp_10001,2.420214558854847,2.4124303865010006,2.4272890883748914,8.328376002109665e-3,7.059592124278424e-3,9.790564751138858e-3
Local/benchmark_samp_100001,22.0800698155637,22.03050791737678,22.148413736875227,6.561755045962857e-2,2.4977433376079716e-2,8.561684527237343e-2
Local/benchmark_samp_1000001,208.01239673051987,207.2370740043125,208.49584568958016,0.7398524733451546,0.1223130291691632,0.9658830296855432
Remote/benchmark_samp_2,3.1111489685210167,3.057618837894703,3.150332971500575,5.2181685004641425e-2,2.6795828611003436e-2,6.497883766558055e-2
Remote/benchmark_samp_11,3.2275740802077357,3.0807637502502985,3.3590574925813903,0.1760777137844368,5.7257760608528524e-2,0.21584884733144064
Remote/benchmark_samp_101,5.231540182791984,5.186422704249708,5.262953299667667,4.41838663557594e-2,5.043648139374364e-3,5.4619000832767724e-2
Remote/benchmark_samp_1001,31.06803342533385,29.783338278586598,31.788870754332493,1.2549625185905795,0.6227708480691098,1.5438596196539054
Remote/benchmark_samp_10001,96.34499062016569,92.14606793299754,98.10326192866644,2.9774837172180217,1.0621359490005489,4.06055365308522
Remote/benchmark_samp_100001,124.82045023774997,121.93397327875027,127.45324090874874,3.6638386446626923,1.5872698327505859,4.8332116667222484
