Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Local/benchmark_samp_2,1.1902000224055021e-3,1.1808200799636002e-3,1.2104831401326883e-3,4.443400051546864e-5,1.7602410230433684e-5,7.921217901538405e-5
Local/benchmark_samp_11,4.3481577082366135e-3,4.278775838787653e-3,4.480443691806487e-3,2.7536737829993234e-4,1.78149635072963e-4,4.0280235304238266e-4
Local/benchmark_samp_101,3.20588442668887e-2,3.193125824812765e-2,3.220390212438001e-2,3.173571663747129e-4,2.6522892733660486e-4,3.804759920759876e-4
Local/benchmark_samp_1001,0.7159738947916594,0.711131158792341,0.7247770987492004,8.40357088928317e-3,1.5843497494643088e-3,1.0975758475874245e-2
Local/benchmark_samp_10001,2.41864032183427,2.411110307002673,2.4281687923327504,9.605780420730035e-3,4.029146164005626e-3,1.2737367115311588e-2
Local/benchmark_samp_100001,25.746659493561157,25.639299569124887,25.854019417997428,0.13048137708892632,5.194065301632436e-2,0.16235399173674012
Local/benchmark_samp_1000001,207.9628600315829,206.7910190101229,208.73760634991805,1.154687841039002,0.4107985964167966,1.5903001385987003
Remote/benchmark_samp_2,4.488705375353523,4.415586621228461,4.527572861499721,7.093015668814574e-2,3.2757970002421644e-3,8.632154703372956e-2
Remote/benchmark_samp_11,3.880398500687837,3.7069328348749577,4.132294996250494,0.23834659143346376,8.469810762562702e-2,0.302800844933879
Remote/benchmark_samp_101,7.859592695791283,7.653916227749505,8.07968223337457,0.2540240876304647,0.1588996233456386,0.3513899857940969
Remote/benchmark_samp_1001,27.179384426583663,26.799235227997997,27.38408517295981,0.34762300678055935,0.1394988047965002,0.4727361240943441
Remote/benchmark_samp_10001,84.34300382243812,81.66944901275019,86.88781363481303,3.3302932171705026,1.4731783271248204,4.175906713384532
Remote/benchmark_samp_100001,119.75262706016808,115.5037627935044,123.31715305574926,4.354038084574655,2.4938159406858107,6.014750628254232
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Local/benchmark_samp_2,7.238546181997722e-4,7.183676395319655e-4,7.396412354899823e-4,3.189611444454703e-5,5.746133924487069e-6,6.0766078629092536e-5
Local/benchmark_samp_11,5.68376134125948e-3,5.674188904694706e-3,5.704079146306444e-3,4.026193029131791e-5,2.181527784299428e-5,6.70397317146171e-5
Local/benchmark_samp_101,4.8495157599618983e-2,4.7452572141555585e-2,5.0527563819102235e-2,2.6172645975323524e-3,1.5778755131271559e-3,3.237093178214142e-3
Local/benchmark_samp_1001,0.2688417252598447,0.2677872597996611,0.2693501525197644,8.624592940708962e-4,4.243245940903069e-5,1.1120805451690888e-3
Local/benchmark_samp_10001,4.447927377166252,4.431387071371773,4.4566145190437965,1.606307701247838e-2,1.03661749154642e-3,1.9617408751615134e-2
Local/benchmark_samp_100001,22.310979498312765,22.046712651249738,22.62483901431324,0.30547506243894773,0.13888740519752674,0.41401170991549047
Remote/benchmark_samp_2,4.440549917375847,4.035549588751564,4.84555024600013,0.4703825416331063,0.40788978538787707,0.5122152985487093
Remote/benchmark_samp_11,2.0715061902915295,1.9984109639990493,2.09944945854204,5.192542991468016e-2,1.8132634584617335e-2,6.453221378588019e-2
Remote/benchmark_samp_101,4.777481558854258,4.635620647624819,4.882242175750434,0.15149958976860928,9.886624081847865e-2,0.18984934086837477
Remote/benchmark_samp_1001,25.233134822916327,24.89933600983386,25.542717168998024,0.38776924229621007,0.3190485171653563,0.42433102950680296
Remote/benchmark_samp_10001,130.89422038214676,125.65961645625157,134.19676107633373,4.967032822249625,1.9882152226667387,6.282167346188749
Remote/benchmark_samp_100001,183.5489004456032,167.2896072978765,194.08260212849837,17.260166124345098,9.61622043612715,24.32654200873091
